RevenueLastYear,Revenue,State Name,Revenue Change,Change Percent
1097005.95,2952973.1,Sao Paulo,1855967.1500000001,169.18%
335045.81,849612.1,Minas Gerais,514566.29,153.58%
438888.99,900321.05,Rio de Janeiro,461432.06000000006,105.14%
159632.88,379330.18,Parana,219697.3,137.63%
180889.84,382733.25,Rio Grande do Sul,201843.41,111.58%
118388.11,284614.82,Santa Catarina,166226.71000000002,140.41%
125977.14,271574.52,Bahia,145597.38,115.57%
56554.59,155605.43,Distrito Federal,99050.84,175.14%
60123.34,153554.85,Espirito Santo,93431.51000000001,155.40%
52512.42,137433.61,Pernambuco,84921.18999999999,161.72%
68740.89,149841.95,Goias,81101.06000000001,117.98%
52650.01,111845.37,Ceara,59195.35999999999,112.43%
38824.4,77639.34,Mato Grosso,38814.939999999995,99.98%
25302.95,63054.91,Paraiba,37751.96000000001,149.20%
24207.64,58047.24,Maranhao,33839.6,139.79%
30557.92,62087.45,Mato Grosso do Sul,31529.53,103.18%
55062.42,86568.69,Para,31506.270000000004,57.22%
15999.68,46796.55,Rio Grande do Norte,30796.870000000003,192.48%
23427.85,49535.31,Piaui,26107.46,111.44%
13556.57,25477.37,Tocantins,11920.8,87.93%
15550.77,27158.2,Sergipe,11607.43,74.64%
10622.97,22159.47,Rondonia,11536.500000000002,108.60%
25811.97,36171.89,Alagoas,10359.919999999998,40.14%
5595.62,11862.35,Amazonas,6266.7300000000005,111.99%
877.15,6222.09,Roraima,5344.9400000000005,609.35%
2876.92,7427.66,Amapa,4550.74,158.18%
6395.16,5315,Acre,-1080.1599999999999,-16.89%
