product_category_name_english,Percent Of Revenue,Revenue,RevenueLastYear,RevenueChangeLastYear
health_beauty,10.49%,769437,246437.55,522998.97000000003
watches_gifts,9.63%,706235,204525.1,501710.06000000006
bed_bath_table,7.33%,537514,259279.84,278234.29000000004
sports_leisure,7.23%,529851,221294.17,308557.30999999994
computers_accessories,6.84%,501699,217255.1,284444.19999999995
housewares,5.42%,397402,130312.71,267088.86
furniture_decor,5.25%,384923,174926.73,209995.98
auto,4.73%,346587,126691.77,219895.68
baby,3.49%,255527,69752.87,185773.87
cool_stuff,3.14%,230496,210841.75,19653.76000000001
garden_tools,2.92%,214432,142760.99,71671.44
telephony,2.44%,179145,59125.07,120019.47
perfumery,2.41%,176945,123199.67,53745.14
toys,2.31%,169461,119198.22,50262.649999999994
office_furniture,1.95%,143270,75127.97,68142.13999999998
stationery,1.84%,134684,37276.56,97407.26999999999
pet_shop,1.75%,128053,49606.09,78447.15000000001
construction_tools_construction,1.68%,123540,2891.49,120648.12
musical_instruments,1.47%,107746,37431.4,70314.68
electronics,1.38%,101000,29544.23,71456.16
small_appliances,1.19%,87421,66161.9,21259.160000000003
home_appliances_2,1.19%,86903,12470.82,74432.04000000001
fashion_bags_accessories,0.95%,70004,37903.03,32100.490000000005
luggage_accessories,0.87%,64023,50888.32,13134.769999999997
computers,0.87%,63732,39448.99,24283.35
consoles_games,0.87%,63606,46606.42,16999.39
home_construction,0.81%,59058,6721.45,52336.22
home_appliances,0.77%,56150,14232.62,41917.79
agro_industry_and_commerce,0.59%,43351,4610.74,38740.53
furniture_living_room,0.46%,33540,23668.79,9871.46
audio,0.45%,32961,7815.34,25145.600000000002
industry_commerce_and_business,0.42%,30573,2356.63,28216.809999999998
kitchen_dining_laundry_garden_furniture,0.37%,27349,5399.26,21949.47
fixed_telephony,0.37%,27005,8233.9,18771.489999999998
books_general_interest,0.37%,26946,11796.09,15150.009999999998
air_conditioning,0.34%,24865,19214.12,5650.84
home_confort,0.28%,20883,21863.26,-979.8099999999977
food,0.28%,20387,5259.87,15127
drinks,0.24%,17425,1197.66,16226.98
signaling_and_security,0.23%,17066,1753.9,15312.340000000002
costruction_tools_garden,0.23%,16774,5585.99,11188.4
art,0.20%,14876,8139.05,6736.8
books_technical,0.18%,13067,2441.28,10625.56
costruction_tools_tools,0.16%,11817,1532.9,10283.76
furniture_bedroom,0.15%,11181,5757.11,5424.06
fashion_shoes,0.12%,8497,8978.9,-482.22999999999956
food_drink,0.10%,7697,1262.4,6434.34
market_place,0.10%,7566,15166.73,-7601.16
music,0.06%,4476,1503.49,2972.4700000000003
fashion_underwear_beach,0.03%,2469,2700.35,-231.3499999999999
fashion_male_clothing,0.03%,2302,4773.97,-2472.1000000000004
furniture_mattress_and_upholstery,0.02%,1820,1324.08,495.72
tablets_printing_image,0.02%,1268,5157.75,-3889.79
dvds_blu_ray,0.02%,1133,3012.69,-1879.98
fashio_female_clothing,0.01%,617,1602.6,-985.9399999999999
fashion_sport,0.01%,370,1160.72,-791.22
