product_category_name_english,PercentOfRevenueCats,
health_beauty,10.49%,10.49%
watches_gifts,9.63%,20.12%
bed_bath_table,7.33%,27.45%
sports_leisure,7.23%,34.68%
computers_accessories,6.84%,41.52%
housewares,5.42%,46.94%
furniture_decor,5.25%,52.19%
auto,4.73%,56.92%
baby,3.49%,60.41%
cool_stuff,3.14%,63.55%
garden_tools,2.92%,66.47%
telephony,2.44%,68.91%
perfumery,2.41%,71.32%
toys,2.31%,73.63%
office_furniture,1.95%,75.58%
stationery,1.84%,77.42%
pet_shop,1.75%,79.17%
construction_tools_construction,1.68%,80.85%
musical_instruments,1.47%,82.32%
electronics,1.38%,83.70%
small_appliances,1.19%,84.89%
home_appliances_2,1.19%,86.08%
,1.06%,87.14%
fashion_bags_accessories,0.95%,88.09%
luggage_accessories,0.87%,88.96%
computers,0.87%,89.83%
consoles_games,0.87%,90.70%
home_construction,0.81%,91.51%
home_appliances,0.77%,92.28%
small_appliances_home_oven_and_coffee,0.64%,92.92%
agro_industry_and_commerce,0.59%,93.51%
construction_tools_lights,0.49%,94.00%
furniture_living_room,0.46%,94.46%
audio,0.45%,94.91%
construction_tools_safety,0.43%,95.34%
industry_commerce_and_business,0.42%,95.76%
kitchen_dining_laundry_garden_furniture,0.37%,96.13%
fixed_telephony,0.37%,96.50%
books_general_interest,0.37%,96.87%
air_conditioning,0.34%,97.21%
home_confort,0.28%,97.49%
food,0.28%,97.77%
drinks,0.24%,98.01%
signaling_and_security,0.23%,98.24%
costruction_tools_garden,0.23%,98.47%
art,0.20%,98.67%
books_technical,0.18%,98.85%
costruction_tools_tools,0.16%,99.01%
furniture_bedroom,0.15%,99.16%
fashion_shoes,0.12%,99.28%
food_drink,0.10%,99.38%
market_place,0.10%,99.48%
cine_photo,0.09%,99.57%
christmas_supplies,0.08%,99.65%
music,0.06%,99.71%
books_imported,0.05%,99.76%
party_supplies,0.04%,99.80%
fashion_underwear_beach,0.03%,99.83%
fashion_male_clothing,0.03%,99.86%
furniture_mattress_and_upholstery,0.02%,99.88%
arts_and_craftmanship,0.02%,99.90%
diapers_and_hygiene,0.02%,99.92%
tablets_printing_image,0.02%,99.94%
dvds_blu_ray,0.02%,99.96%
flowers,0.01%,99.97%
la_cuisine,0.01%,99.98%
fashio_female_clothing,0.01%,99.99%
fashion_sport,0.01%,100.00%
fashion_childrens_clothes,0.00%,100.00%
home_comfort_2,0.00%,100.00%
cds_dvds_musicals,0.00%,100.00%
