State Name,Revenue,TotalRevenueAllStates,PercentOfRevenueState,
,36713.22,13389597.46,0.27%,0.27%
Acre,15982.95,13389597.46,0.12%,0.12%
Alagoas,79853.64,13389597.46,0.60%,0.60%
Amapá,13374.81,13389597.46,0.10%,0.10%
Amazonas,22356.84,13389597.46,0.17%,0.17%
Bahía,502933.75,13389597.46,3.76%,3.76%
Ceará,222221.2,13389597.46,1.66%,1.66%
Distrito Federal,275278.52,13389597.46,2.06%,2.06%
Espirito Santo,272157.83,13389597.46,2.03%,2.03%
Goiás,285275.75,13389597.46,2.13%,2.13%
Maranhão,117699.67,13389597.46,0.88%,0.88%
Mato Grosso,154173.76,13389597.46,1.15%,1.15%
Mato Grosso do Sul,114063.98,13389597.46,0.85%,0.85%
Minas Geraís,1562901.95,13389597.46,11.67%,11.67%
Pará,176725.74,13389597.46,1.32%,1.32%
Paraíba,113095.4,13389597.46,0.84%,0.84%
Paraná,670556.23,13389597.46,5.01%,5.01%
Pernambuco,257779.28,13389597.46,1.93%,1.93%
Piauí,85268.29,13389597.46,0.64%,0.64%
Rio de Janeiro,1793449.94,13389597.46,13.39%,13.39%
Rio Grande do Norte,81956.49,13389597.46,0.61%,0.61%
Rio Grande do Sul,739278.56,13389597.46,5.52%,5.52%
Rondônia,46642.14,13389597.46,0.35%,0.35%
Roraima,7626.85,13389597.46,0.06%,0.06%
Santa Catarina,513123.22,13389597.46,3.83%,3.83%
São Paulo,5121412.95,13389597.46,38.25%,38.25%
Sergipe,58545.5,13389597.46,0.44%,0.44%
Tocantins,49149,13389597.46,0.37%,0.37%
