,year,fdom,month_name,Order_Count,Sales
0,2017,2017-01-01,January,778,105437.76999999973
1,2017,2017-02-01,February,1685,222114.08999999636
2,2017,2017-03-01,March,2594,336920.2699999995
3,2017,2017-04-01,April,2366,325585.6099999996
4,2017,2017-05-01,May,3617,458667.1700000068
5,2017,2017-06-01,June,3193,400541.3700000029
6,2017,2017-07-01,July,3935,447253.0500000066
7,2017,2017-08-01,August,4254,515375.46000001073
8,2017,2017-09-01,September,4205,553033.9100000107
9,2017,2017-10-01,October,4527,593928.7900000132
10,2017,2017-11-01,November,7396,897819.5000000293
11,2017,2017-12-01,December,5583,681262.190000016
12,2018,2018-01-01,January,7158,859382.1800000299
13,2018,2018-02-01,February,6618,763775.3400000241
14,2018,2018-03-01,March,7159,898868.8800000278
15,2018,2018-04-01,April,6911,908925.4600000255
16,2018,2018-05-01,May,6827,893240.4100000228
17,2018,2018-06-01,June,6145,789170.030000019
18,2018,2018-07-01,July,6232,804050.0800000187
19,2018,2018-08-01,August,6421,784931.9900000211
