,year,fdom,month_name,Order_Count,Sales,month,mom_orders,mom_orders_pct,mom_sales,mom_sales_pct,yoy_orders,yoy_orders_pct,yoy_sales,yoy_sales_pct
0,2017,2017-01-01,January,778,105438.0,1,,,,,,,,
1,2017,2017-02-01,February,1685,222114.0,2,907.0,116.58,116676.0,110.66,,,,
2,2017,2017-03-01,March,2594,336920.0,3,909.0,53.95,114806.0,51.69,,,,
3,2017,2017-04-01,April,2366,325586.0,4,-228.0,-8.79,-11334.0,-3.36,,,,
4,2017,2017-05-01,May,3617,458667.0,5,1251.0,52.87,133081.0,40.87,,,,
5,2017,2017-06-01,June,3193,400541.0,6,-424.0,-11.72,-58126.0,-12.67,,,,
6,2017,2017-07-01,July,3935,447253.0,7,742.0,23.24,46712.0,11.66,,,,
7,2017,2017-08-01,August,4254,515375.0,8,319.0,8.11,68122.0,15.23,,,,
8,2017,2017-09-01,September,4205,553034.0,9,-49.0,-1.15,37659.0,7.31,,,,
9,2017,2017-10-01,October,4527,593929.0,10,322.0,7.66,40895.0,7.39,,,,
10,2017,2017-11-01,November,7396,897820.0,11,2869.0,63.38,303891.0,51.17,,,,
11,2017,2017-12-01,December,5583,681262.0,12,-1813.0,-24.51,-216558.0,-24.12,,,,
12,2018,2018-01-01,January,7158,859382.0,1,1575.0,28.21,178120.0,26.15,6380.0,820.05,753944.0,715.06
13,2018,2018-02-01,February,6618,763775.0,2,-540.0,-7.54,-95607.0,-11.13,4933.0,292.76,541661.0,243.87
14,2018,2018-03-01,March,7159,898869.0,3,541.0,8.17,135094.0,17.69,4565.0,175.98,561949.0,166.79
15,2018,2018-04-01,April,6911,908925.0,4,-248.0,-3.46,10056.0,1.12,4545.0,192.1,583339.0,179.17
16,2018,2018-05-01,May,6827,893240.0,5,-84.0,-1.22,-15685.0,-1.73,3210.0,88.75,434573.0,94.75
17,2018,2018-06-01,June,6145,789170.0,6,-682.0,-9.99,-104070.0,-11.65,2952.0,92.45,388629.0,97.03
18,2018,2018-07-01,July,6232,804050.0,7,87.0,1.42,14880.0,1.89,2297.0,58.37,356797.0,79.78
19,2018,2018-08-01,August,6421,784932.0,8,189.0,3.03,-19118.0,-2.38,2167.0,50.94,269557.0,52.3
